CLIENT NAME,LOBBYIST LAST NAME,LOBBYIST FIRST NAME,LOBBYIST ADDRESS,LOBBYIST CITY,LOBBYIST STATE,LOBBYIST ZIP
"1000 S. Wells (Chicago), LLC",Jahnke-Dale,Katherine,203 N. LaSalle Street,Chicago,IL,60601
1010 Lakeshore Association,George,John,130 E Randolph St,Chicago,IL,60601
1028 West Diversey LLC,Moore,Thomas,111 W Washington,Chicago,IL,60602
1100 E 47th St. LLC ,Cassel,Danielle,"222 N. LaSalle St., #2600",Chicago,IL,60601
1100 E 47th Street LLC,Cassel,Peter,5240 S Hyde Park,Chicago,IL,60615
"1119 W. Webster Restaurant, LLC",Neal,Langdon,"203 N. LaSalle, Ste. 2300",Chicago,IL,60601
"1119 W. Webster Restaurant, LLC",Borstein,Scott,"203 N. LaSalle, Ste. 2300",Chicago,IL,60601
"1119 W. Webster Restaurant, LLC",Borstein,Scott,"203 N. LaSalle, Ste. 2300",Chicago,Il,60601
111 W. Chestnut LLC,Scott,Andrew,"10 S. Wacker Dr., Ste. 2300",Chicago,IL,60606
111 W. Chestnut LLC,McGowan,Sean,"104 S Michigan Ave., Ste. 500",Chicago,IL,60603
"111 West Jackson Associates, LLC",Grady,Graham,111 East Wacker Drive,Chicago,IL,60601
"11 South LaSalle Hotel Partners, LLC",Teele,Terry,212 W. Washington St,Chicago,IL,60606
"11 South LaSalle Hotel Partners, LLC",Palo,Jeffery,212 W. Washington St,Chicago,IL,60606
"11 South LaSalle Hotel Partners, LLC",Gattuso,Joseph ,"111 E. Wacker Drive, Suite 2800",Chicago,IL,60601
1215-25 W 18th (Chicago) LLC,Cassel,Danielle,"222 N. LaSalle St., #2600",Chicago,IL,60601
121 E Cermak LLC,George,John,180 N Stetson,Chicago,IL,60601
1243 W Henderson LLC,Moore,Thomas,111 W Washington,Chicago,IL,60602
1246 Pratt LLC,Ramsey,Emily,53 W Jackson Blvd,Chicago,IL,60604
"125 S Clark (Chicago) SPE, LLC",O'Keefe,Bridget,227 W. Monroe St.,Chicago,IL,60606
1300 Exchange LLC,Acosta,Rolando,2949 W Gregory St,Chicago,IL,60625
1301 W Schubert LLC,Moore,Thomas,111 W Washington,Chicago,IL,60602
"1313 S. Wabash, LLC",Scott,Andrew,"10 S. Waker Dr., Ste. 2300",Chicago,IL,60606
"1313 S. Wabash, LLC",Scott,Andrew,"10 S. Wacker Dr., Ste. 2300",Chicago,IL,60606
1320 North State Parkway Apartments,Grady,Graham,111 East Wacker Drive,Chicago,IL,60601
"1433 Wells, LLC",Grady,Graham,111 East Wacker Drive,Chicago,IL,60601
1500 Lake Shore Drive Building Corp.,Grady,Graham,111 East Wacker Drive,Chicago,IL,60601
1514 W Division LLC,O'Keefe,Bridget,227 W. Monroe St.,Chicago,IL,60606
1514 W Division LLC,O'Keefe,Bridget,"227 W. Monroe St., #3500",Chicago,IL,60606
1518 N Astor LLC,Moore,Thomas,111 W Washington,Chicago,IL,60602
151 N. Franklin LLC,DiGrino,Mariah,203 N. LaSalle Street,Chicago,IL,60601
151 N. Franklin LLC,DiGrino,Mariah,203 N. LaSalle St. Suite 1900,Chicago,IL,60601
1525 HP LLC,Cassel,Peter,5240 S Hyde Park,Chicago,IL,60615
1525 HP LLC,Cassel,Peter,5240 S Hyde Park Boulevard,Chicago,IL,60615
1549 NNP LLC,Moore,Thomas,111 W Washington,Chicago,IL,60602
15 Hubbard LLC,Mell,Richard,3701 N. Kedzie,Chicago,IL,
1600 E 53rd St. LLC,Cassel,Peter,5240 S Hyde Park,Chicago,IL,60615
1600 E 53rd St. LLC,Cassel,Peter,5240 S Hyde Park Boulevard,Chicago,IL,60615
1601 West Division LLC,Acosta,Rolando,2949 W Gregory St,Chicago,IL,60625
1625 South Street LLC,Charity,Elvin,"20 N. Clark St., Ste. 1150",Chicago,IL,60602
162 W. Superior LLC,Scott,Andrew,"10 S. Wacker Dr., Ste. 2300",Chicago,IL,60606
1-800 Contacts,Synowiecki,Michael,20 S. Clark St.,Chicago,IL,60603
1815 W. Division LLC,Acosta,Rolando,2949 W Gregory St,Chicago,IL,60625
"182 W. Lake, LLC",Friedgut,Elizabeth,203 N. LaSalle St. Suite 1900,Chicago,IL,60601
"182 W. Lake, LLC",Friedgut,Elizabeth,203 N. LaSalle Street,Chicago,IL,60601
182 W. lake St. LLC,Friedgut,Elizabeth,203 N. LaSalle St. Suite 1900,Chicago,IL,60601
182 W. lake St. LLC,Friedgut,Elizabeth,203 N. LaSalle Street,Chicago,IL,60601
